stimulus_index,predicate,attitude,relationship,modifier,filled_sentence,log_prob,relative_probability
0,面白い,warning,friend,very,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel very funny to me. What about cutting it down?""",-1.0016943216323853,0.3511919677257538
0,面白い,warning,friend,really,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel really funny to me. What about cutting it down?""",-2.6867451667785645,0.06512328237295151
0,面白い,warning,friend,that,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel that funny to me. What about cutting it down?""",-2.2865376472473145,0.09717269241809845
0,面白い,warning,friend,quite,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel quite funny to me. What about cutting it down?""",-5.483055591583252,0.003974788822233677
0,面白い,warning,friend,(none),"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel (none) funny to me. What about cutting it down?""",-17.388186041265726,2.6852307044578083e-08
0,面白い,warning,friend,too,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel too funny to me. What about cutting it down?""",-2.5133137702941895,0.0774562731385231
0,面白い,warning,friend,slightly,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel slightly funny to me. What about cutting it down?""",-9.338479042053223,8.412501483689994e-05
0,面白い,warning,friend,somewhat,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel somewhat funny to me. What about cutting it down?""",-9.608757972717285,6.420139834517613e-05
0,面白い,warning,friend,pretty,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel pretty funny to me. What about cutting it down?""",-5.543358325958252,0.0037421819288283587
0,面白い,warning,friend,a little bit,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel a little bit funny to me. What about cutting it down?""",-5.069322884082794,0.006011678837239742
0,面白い,warning,friend,at all,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel at all funny to me. What about cutting it down?""",-3.1191469526384026,0.04226166382431984
0,面白い,warning,friend,kind of,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel kind of funny to me. What about cutting it down?""",-4.4744903445243835,0.010897539556026459
0,面白い,warning,friend,completely,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel completely funny to me. What about cutting it down?""",-6.7736897468566895,0.0010934495367109776
0,面白い,warning,friend,kinda,"A friend shows Peter the comedy routine he filmed to post online. Wanting to be helpful, Peter points out hesitantly: ""The middle part doesn't feel kinda funny to me. What about cutting it down?""",-5.467753648757935,0.004036079626530409
